SEROTYPE_ID	SUBGENUS_ID	DESCRIPTION
"50:Z4,Z32:-"	IV	IV - Salmonella enterica houtenae
"50:Z52:1,5,7"	IIIb	IIIb - Salmonella enterica diarizonae
"51:G,Z51:-"	IIIa	IIIa - Salmonella enterica arizonae
52:Z:Z52	IIIb	IIIb - Salmonella enterica diarizonae
55:K:Z39	II	II - Salmonella enterica salamae
"56:Z4,Z23:-"	IIIa	IIIa - Salmonella enterica arizonae
57:Z10:Z	IIIb	IIIb - Salmonella enterica diarizonae
57:Z29:Z42	II	II - Salmonella enterica salamae
58:D:Z6	II	II - Salmonella enterica salamae
"58:L,Z13,Z28:Z6"	II	II - Salmonella enterica salamae
58:R:Z53	IIIb	IIIb - Salmonella enterica diarizonae
"6,7:B:Z42"	II	II - Salmonella enterica salamae
"6,7:Z:1,5"	II	II - Salmonella enterica salamae
60:R:Z	IIIb	IIIb - Salmonella enterica diarizonae
61:C:Z35	IIIb	IIIb - Salmonella enterica diarizonae
61:I:Z	IIIb	IIIb - Salmonella enterica diarizonae
61:I:Z35	IIIb	IIIb - Salmonella enterica diarizonae
61:I:Z53	IIIb	IIIb - Salmonella enterica diarizonae
"61:K:1,5"	IIIb	IIIb - Salmonella enterica diarizonae
"61:K:1,5,7"	IIIb	IIIb - Salmonella enterica diarizonae
"61:R:1,5,7"	IIIb	IIIb - Salmonella enterica diarizonae
61:R:Z53	IIIb	IIIb - Salmonella enterica diarizonae
65:C:Z	IIIb	IIIb - Salmonella enterica diarizonae
"65:L,V:Z"	IIIb	IIIb - Salmonella enterica diarizonae
"65:Z10:E,N,X,Z15"	IIIb	IIIb - Salmonella enterica diarizonae
66:Z65:-	V	V - Salmonella bongori
"9,12:G,M,S,T:E,N,X"	II	II - Salmonella enterica salamae
"9,12:Z29:1,5"	II	II - Salmonella enterica salamae
ABA	I	I - Salmonella enterica enterica
ABAETETUBA	I	I - Salmonella enterica enterica
ABERDEEN	I	I - Salmonella enterica enterica
ABONY	I	I - Salmonella enterica enterica
ABORTUSEQUI	I	I - Salmonella enterica enterica
ABORTUSOVIS	I	I - Salmonella enterica enterica
ADELAIDE	I	I - Salmonella enterica enterica
AFRICANA	I	I - Salmonella enterica enterica
AGAMA	I	I - Salmonella enterica enterica
AGBARA	I	I - Salmonella enterica enterica
AGBENI	I	I - Salmonella enterica enterica
AGONA	I	I - Salmonella enterica enterica
AGOUEVE	I	I - Salmonella enterica enterica
AHUZA	I	I - Salmonella enterica enterica
BINZA	I	I - Salmonella enterica enterica
THOMASVILLE	I	 
LAGOS	I	I - Salmonella enterica enterica
WAGENIA	I	I - Salmonella enterica enterica
GOOD	I	I - Salmonella enterica enterica
CONCORD	I	I - Salmonella enterica enterica
PROTEUS	NotApp	Not Applicable
NO_VIABLE_ORGANISMS	NotApp	Not Applicable
